id,text_clean,label,pred_proba,pred_label
1,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,ham,0.013527144455532367,0
2,ok lar joking wif u oni,ham,0.01133152804613871,0
3,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry question std txt rate t c s apply 08452810075over18 s,spam,0.9101091058789639,1
4,u dun say so early hor u c already then say,ham,0.006491348711847155,0
5,nah i don t think he goes to usf he lives around here though,ham,0.008496333493514375,0
6,freemsg hey there darling it s been 3 week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send 1 50 to rcv,spam,0.2217335660911266,0
7,even my brother is not like to speak with me they treat me like aids patent,ham,0.01019299768581428,0
8,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,ham,0.05147777594832222,0
9,winner as a valued network customer you have been selected to receivea 900 prize reward to claim call 09061701461 claim code kl341 valid 12 hours only,spam,0.9685150229857995,1
10,had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 08002986030,spam,0.9767775287456398,1
11,i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today,ham,0.009474283585122307,0
12,six chances to win cash from 100 to 20 000 pounds txt csh11 and send to 87575 cost 150p day 6days 16 tsandcs apply reply hl 4 info,spam,0.965669693996157,1
13,urgent you have won a 1 week free membership in our 100 000 prize jackpot txt the word claim to no 81010 t c www dbuk net lccltd pobox 4403ldnw1a7rw18,spam,0.9650760845080776,1
14,i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,ham,0.04409994062163275,0
15,i have a date on sunday with will,ham,0.0509851465160485,0
16,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here xxxmobilemovieclub com n qjkgighjjgcbl,spam,0.8443633973868079,1
17,oh k i m watching here,ham,0.005837477437846291,0
18,eh u remember how 2 spell his name yes i did he v naughty make until i v wet,ham,0.007721490318025223,0
19,fine if that s the way u feel that s the way its gota b,ham,0.003810903627116056,0
20,england v macedonia dont miss the goals team news txt ur national team to 87077 eg england to 87077 try wales scotland 4txt 1 20 poboxox36504w45wq 16,spam,0.8061264758089898,1
21,is that seriously how you spell his name,ham,0.010174256714211653,0
22,i m going to try for 2 months ha ha only joking,ham,0.029013639470917084,0
23,so pay first lar then when is da stock comin,ham,0.0063769072221150636,0
24,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already,ham,0.005255040179416584,0
25,ffffffffff alright no way i can meet up with you sooner,ham,0.008661046486733763,0
26,just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol,ham,0.012603393735160848,0
27,lol your always so convincing,ham,0.019030732002995272,0
28,did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love,ham,0.0067788984877817406,0
29,i m back amp we re packing the car now i ll let you know if there s room,ham,0.008088800172968771,0
30,ahhh work i vaguely remember that what does it feel like lol,ham,0.004793238560312305,0
31,wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us,ham,0.009801257621297972,0
32,yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we won t go there not doing too badly cheers you,ham,0.0032426963006555332,0
33,k tell me anything about you,ham,0.005138544738491434,0
34,for fear of fainting with the of all that housework you just did quick have a cuppa,ham,0.029834446640684374,0
35,thanks for your subscription to ringtone uk your mobile will be charged 5 month please confirm by replying yes or no if you reply no you will not be charged,spam,0.878983262286053,1
36,yup ok i go home look at the timings then i msg again xuhui going to learn on 2nd may too but her lesson is at 8am,ham,0.009101510360004398,0
37,oops i ll let you know when my roommate s done,ham,0.004349026059377589,0
38,i see the letter b on my car,ham,0.01223220230613889,0
39,anything lor u decide,ham,0.008583777533069156,0
40,hello how s you and how did saturday go i was just texting to see if you d decided to do anything tomo not that i m trying to invite myself or anything,ham,0.012132413848618332,0
41,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,ham,0.021648012715361365,0
42,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,ham,0.009204803632502574,0
43,07732584351 rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now 08000930705 for delivery tomorrow,spam,0.9810214445434738,1
44,who are you seeing,ham,0.022343849376839548,0
45,great i hope you like your man well endowed i am lt gt inches,ham,0.0034860846704088864,0
46,no calls messages missed calls,ham,0.0383469472786094,0
47,didn t you get hep b immunisation in nigeria,ham,0.012901447811266445,0
48,fair enough anything going on,ham,0.016944789120193905,0
49,yeah hopefully if tyler can t do it i could maybe ask around a bit,ham,0.005647889387217567,0
50,u don t know how stubborn i am i didn t even want to go to the hospital i kept telling mark i m not a weak sucker hospitals are for weak suckers,ham,0.018702551734752666,0
51,what you thinked about me first time you saw me in class,ham,0.004218320791824703,0
52,a gram usually runs like lt gt a half eighth is smarter though and gets you almost a whole second gram for lt gt,ham,0.006722650747463415,0
53,k fyi x has a ride early tomorrow morning but he s crashing at our place tonight,ham,0.011465790885390148,0
